date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_2_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_8_normalized,smart_9_normalized,smart_10_normalized,smart_192_normalized,smart_193_normalized,smart_194_normalized,smart_196_normalized,smart_197_normalized,smart_199_normalized
2019-12-31,PL1331LAGBZ1SH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,100.0,100.0,100.0,113.0,98.0,100.0,100.0,100.0,253.0,100.0,100.0,200.0
2019-12-31,PL1331LAGDEJMH,HGST HMS5C4040BLE640,4000787030016,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,193.0,100.0,100.0,200.0
2019-12-31,PL1331LAGG7J0H,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,100.0,100.0,100.0,113.0,98.0,100.0,100.0,100.0,206.0,100.0,100.0,200.0
2019-12-31,PL1331LAGJV6MH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,125.0,100.0,100.0,113.0,94.0,100.0,100.0,100.0,250.0,100.0,100.0,200.0
2019-02-11,PL1331LAGK9JRH,HGST HMS5C4040BLE640,4000787030016,1,100.0,133.0,129.0,100.0,100.0,113.0,98.0,100.0,100.0,100.0,206.0,100.0,100.0,200.0
2019-12-31,PL1331LAGKSPAH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,125.0,100.0,100.0,113.0,97.0,100.0,100.0,100.0,176.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLVKGH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,181.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLVLHH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,187.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLVTKH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,130.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,240.0,100.0,100.0,200.0
2019-01-12,PL1331LAGLVXDH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,125.0,100.0,100.0,115.0,95.0,100.0,100.0,100.0,230.0,100.0,100.0,200.0
2019-01-12,PL1331LAGLVXVH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,129.0,100.0,100.0,115.0,95.0,100.0,100.0,100.0,253.0,100.0,100.0,200.0
2019-01-12,PL1331LAGLVY8H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,131.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,253.0,100.0,100.0,200.0
2019-01-12,PL1331LAGLVYNH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,127.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,240.0,100.0,100.0,200.0
2019-01-07,PL1331LAGLVYXH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,130.0,100.0,100.0,115.0,95.0,100.0,100.0,100.0,253.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLWSXH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,115.0,95.0,100.0,100.0,100.0,166.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLWT4H,HGST HMS5C4040BLE640,4000787030016,0,100.0,132.0,100.0,100.0,100.0,115.0,95.0,100.0,100.0,100.0,240.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLWTDH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,94.0,100.0,100.0,100.0,200.0,100.0,100.0,200.0
2019-01-03,PL1331LAGLWU5H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,139.0,100.0,100.0,111.0,95.0,100.0,100.0,100.0,176.0,100.0,100.0,200.0
