date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_2_raw,smart_3_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_8_raw,smart_9_raw,smart_10_raw,smart_12_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_196_raw,smart_197_raw,smart_199_raw
2019-12-31,PL1331LAGBZ1SH,HGST HMS5C4040BLE640,4000787030016,0,0.0,107.0,544.0,7.0,0.0,0.0,42.0,17117.0,0.0,7.0,305.0,305.0,23.0,0.0,0.0,0.0
2019-12-31,PL1331LAGDEJMH,HGST HMS5C4040BLE640,4000787030016,0,0.0,0.0,542.0,6.0,0.0,0.0,0.0,4121.0,0.0,6.0,50.0,50.0,31.0,0.0,0.0,0.0
2019-12-31,PL1331LAGG7J0H,HGST HMS5C4040BLE640,4000787030016,0,0.0,104.0,0.0,3.0,0.0,0.0,42.0,20577.0,0.0,3.0,67.0,67.0,29.0,0.0,0.0,0.0
2019-12-31,PL1331LAGJV6MH,HGST HMS5C4040BLE640,4000787030016,0,0.0,96.0,557.0,10.0,0.0,0.0,42.0,48690.0,0.0,10.0,185.0,185.0,24.0,0.0,0.0,0.0
2019-02-11,PL1331LAGK9JRH,HGST HMS5C4040BLE640,4000787030016,1,0.0,106.0,560.0,17.0,0.0,0.0,42.0,17342.0,0.0,16.0,243.0,243.0,29.0,0.0,0.0,4.0
2019-12-31,PL1331LAGKSPAH,HGST HMS5C4040BLE640,4000787030016,0,0.0,96.0,548.0,22.0,0.0,0.0,42.0,21988.0,0.0,22.0,493.0,493.0,34.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLVKGH,HGST HMS5C4040BLE640,4000787030016,0,0.0,99.0,566.0,5.0,0.0,0.0,42.0,40473.0,0.0,5.0,683.0,683.0,33.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLVLHH,HGST HMS5C4040BLE640,4000787030016,0,0.0,100.0,401.0,9.0,0.0,0.0,42.0,40479.0,0.0,9.0,618.0,618.0,32.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLVTKH,HGST HMS5C4040BLE640,4000787030016,0,0.0,102.0,513.0,14.0,0.0,0.0,42.0,41201.0,0.0,14.0,696.0,696.0,25.0,0.0,0.0,0.0
2019-01-12,PL1331LAGLVXDH,HGST HMS5C4040BLE640,4000787030016,0,0.0,102.0,559.0,15.0,0.0,0.0,41.0,41994.0,0.0,15.0,126.0,126.0,26.0,0.0,0.0,0.0
2019-01-12,PL1331LAGLVXVH,HGST HMS5C4040BLE640,4000787030016,0,0.0,103.0,563.0,17.0,0.0,0.0,41.0,41875.0,0.0,17.0,563.0,563.0,23.0,0.0,0.0,0.0
2019-01-12,PL1331LAGLVY8H,HGST HMS5C4040BLE640,4000787030016,0,0.0,102.0,556.0,17.0,0.0,0.0,42.0,41875.0,0.0,17.0,390.0,390.0,23.0,0.0,0.0,0.0
2019-01-12,PL1331LAGLVYNH,HGST HMS5C4040BLE640,4000787030016,0,0.0,105.0,573.0,17.0,0.0,0.0,42.0,41875.0,0.0,17.0,585.0,585.0,25.0,0.0,0.0,0.0
2019-01-07,PL1331LAGLVYXH,HGST HMS5C4040BLE640,4000787030016,0,0.0,106.0,541.0,15.0,0.0,0.0,41.0,41903.0,0.0,15.0,744.0,744.0,19.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLWSXH,HGST HMS5C4040BLE640,4000787030016,0,0.0,100.0,449.0,6.0,0.0,0.0,41.0,41927.0,0.0,6.0,352.0,352.0,36.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLWT4H,HGST HMS5C4040BLE640,4000787030016,0,0.0,108.0,450.0,5.0,0.0,0.0,41.0,40455.0,0.0,5.0,145.0,145.0,25.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLWTDH,HGST HMS5C4040BLE640,4000787030016,0,0.0,102.0,458.0,8.0,0.0,0.0,42.0,42039.0,0.0,8.0,519.0,519.0,30.0,0.0,0.0,1.0
2019-01-03,PL1331LAGLWU5H,HGST HMS5C4040BLE640,4000787030016,0,0.0,100.0,555.0,14.0,0.0,0.0,43.0,41270.0,0.0,14.0,252.0,252.0,34.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLWU9H,HGST HMS5C4040BLE640,4000787030016,0,0.0,99.0,453.0,7.0,0.0,0.0,42.0,41930.0,0.0,7.0,598.0,598.0,29.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLWUKH,HGST HMS5C4040BLE640,4000787030016,0,0.0,97.0,456.0,8.0,0.0,0.0,42.0,41942.0,0.0,8.0,537.0,537.0,31.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLWUVH,HGST HMS5C4040BLE640,4000787030016,0,0.0,111.0,450.0,8.0,0.0,0.0,43.0,41947.0,0.0,8.0,506.0,506.0,24.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLWV9H,HGST HMS5C4040BLE640,4000787030016,0,0.0,98.0,517.0,14.0,0.0,0.0,42.0,41202.0,0.0,14.0,404.0,404.0,25.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLWVBH,HGST HMS5C4040BLE640,4000787030016,0,0.0,103.0,444.0,6.0,0.0,0.0,42.0,42039.0,0.0,6.0,350.0,350.0,29.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLWVVH,HGST HMS5C4040BLE640,4000787030016,0,0.0,101.0,445.0,6.0,0.0,0.0,42.0,42034.0,0.0,6.0,567.0,567.0,31.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLWVWH,HGST HMS5C4040BLE640,4000787030016,0,0.0,102.0,453.0,6.0,0.0,0.0,42.0,42039.0,0.0,6.0,54.0,54.0,27.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLWW8H,HGST HMS5C4040BLE640,4000787030016,0,0.0,99.0,438.0,8.0,0.0,0.0,42.0,42040.0,0.0,8.0,528.0,528.0,28.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLWWKH,HGST HMS5C4040BLE640,4000787030016,0,0.0,102.0,444.0,8.0,0.0,0.0,42.0,42040.0,0.0,8.0,503.0,503.0,28.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLWWYH,HGST HMS5C4040BLE640,4000787030016,0,0.0,101.0,449.0,8.0,0.0,0.0,42.0,41942.0,0.0,8.0,522.0,522.0,30.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLWXMH,HGST HMS5C4040BLE640,4000787030016,0,0.0,102.0,521.0,7.0,0.0,0.0,42.0,40479.0,0.0,7.0,152.0,152.0,33.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLWZWH,HGST HMS5C4040BLE640,4000787030016,0,0.0,100.0,565.0,12.0,0.0,0.0,42.0,41940.0,0.0,12.0,598.0,598.0,29.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLWZXH,HGST HMS5C4040BLE640,4000787030016,0,0.0,104.0,473.0,11.0,0.0,0.0,42.0,41415.0,0.0,11.0,81.0,81.0,32.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLX0TH,HGST HMS5C4040BLE640,4000787030016,0,0.0,99.0,520.0,7.0,0.0,0.0,42.0,40478.0,0.0,7.0,671.0,671.0,34.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLX1NH,HGST HMS5C4040BLE640,4000787030016,0,0.0,103.0,0.0,4.0,0.0,0.0,41.0,40915.0,0.0,4.0,541.0,541.0,30.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLX1YH,HGST HMS5C4040BLE640,4000787030016,0,0.0,104.0,448.0,7.0,0.0,0.0,42.0,42040.0,0.0,7.0,568.0,568.0,25.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLX2TH,HGST HMS5C4040BLE640,4000787030016,0,0.0,99.0,454.0,8.0,0.0,0.0,42.0,42040.0,0.0,8.0,513.0,513.0,28.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLX60H,HGST HMS5C4040BLE640,4000787030016,0,0.0,104.0,456.0,8.0,0.0,0.0,42.0,42041.0,0.0,8.0,452.0,452.0,30.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLX6SH,HGST HMS5C4040BLE640,4000787030016,0,0.0,98.0,448.0,6.0,0.0,0.0,42.0,41927.0,0.0,6.0,513.0,513.0,37.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLX7EH,HGST HMS5C4040BLE640,4000787030016,0,0.0,99.0,513.0,14.0,0.0,0.0,42.0,41202.0,0.0,14.0,400.0,400.0,21.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLX7WH,HGST HMS5C4040BLE640,4000787030016,0,0.0,101.0,555.0,11.0,0.0,0.0,42.0,41084.0,0.0,11.0,398.0,398.0,21.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLX8TH,HGST HMS5C4040BLE640,4000787030016,0,0.0,100.0,454.0,7.0,0.0,0.0,42.0,40473.0,0.0,7.0,658.0,658.0,31.0,0.0,0.0,0.0
2019-01-03,PL1331LAGLX8XH,HGST HMS5C4040BLE640,4000787030016,0,0.0,105.0,567.0,14.0,0.0,0.0,41.0,41270.0,0.0,14.0,539.0,539.0,30.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLXA3H,HGST HMS5C4040BLE640,4000787030016,0,0.0,96.0,444.0,8.0,0.0,0.0,42.0,41943.0,0.0,8.0,362.0,362.0,31.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLXA7H,HGST HMS5C4040BLE640,4000787030016,0,0.0,103.0,563.0,12.0,0.0,0.0,42.0,41941.0,0.0,12.0,305.0,305.0,34.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLXASH,HGST HMS5C4040BLE640,4000787030016,0,0.0,102.0,453.0,6.0,0.0,0.0,42.0,40914.0,0.0,6.0,732.0,732.0,29.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLXAXH,HGST HMS5C4040BLE640,4000787030016,0,0.0,99.0,447.0,6.0,0.0,0.0,42.0,40455.0,0.0,6.0,578.0,578.0,27.0,0.0,0.0,0.0
2019-01-07,PL1331LAGLXBBH,HGST HMS5C4040BLE640,4000787030016,0,0.0,102.0,542.0,20.0,0.0,0.0,42.0,41906.0,0.0,20.0,650.0,650.0,27.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLXBTH,HGST HMS5C4040BLE640,4000787030016,0,0.0,99.0,0.0,4.0,0.0,0.0,42.0,40915.0,0.0,4.0,684.0,684.0,31.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLXD0H,HGST HMS5C4040BLE640,4000787030016,0,0.0,103.0,577.0,12.0,0.0,0.0,42.0,41941.0,0.0,12.0,226.0,226.0,31.0,0.0,0.0,0.0
