date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_184_normalized,smart_187_normalized,smart_188_normalized,smart_190_normalized,smart_191_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_197_normalized,smart_198_normalized,smart_199_normalized
2019-12-31,ZA100GA0,ST8000DM002,8001563222016,0,77.0,90.0,100.0,100.0,89.0,66.0,100.0,100.0,100.0,67.0,95.0,96.0,33.0,1.0,100.0,100.0,200.0
2019-12-31,ZA100HM9,ST8000DM002,8001563222016,0,77.0,95.0,100.0,100.0,89.0,65.0,100.0,100.0,100.0,78.0,71.0,95.0,22.0,1.0,100.0,100.0,200.0
2019-12-31,ZA100HN7,ST8000DM002,8001563222016,0,78.0,86.0,100.0,100.0,89.0,65.0,100.0,100.0,100.0,74.0,96.0,95.0,26.0,1.0,100.0,100.0,200.0
2019-12-31,ZA100HNW,ST8000DM002,8001563222016,0,75.0,95.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,76.0,94.0,85.0,24.0,1.0,100.0,100.0,200.0
2019-12-31,ZA100HQG,ST8000DM002,8001563222016,0,82.0,98.0,100.0,100.0,89.0,65.0,100.0,100.0,100.0,72.0,90.0,95.0,28.0,23.0,100.0,100.0,200.0
2019-12-31,ZA100HQP,ST8000DM002,8001563222016,0,84.0,94.0,100.0,100.0,71.0,65.0,100.0,100.0,100.0,77.0,94.0,88.0,23.0,1.0,100.0,100.0,200.0
2019-12-31,ZA100HR2,ST8000DM002,8001563222016,0,79.0,94.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,77.0,96.0,87.0,23.0,1.0,100.0,100.0,200.0
2019-12-31,ZA100HRY,ST8000DM002,8001563222016,0,82.0,94.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,70.0,94.0,85.0,30.0,1.0,100.0,100.0,200.0
2019-12-31,ZA100HS4,ST8000DM002,8001563222016,0,70.0,95.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,70.0,97.0,85.0,30.0,1.0,100.0,100.0,200.0
2019-12-31,ZA100HS6,ST8000DM002,8001563222016,0,82.0,84.0,100.0,100.0,96.0,66.0,100.0,100.0,100.0,60.0,87.0,84.0,40.0,1.0,100.0,100.0,200.0
