date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_10_normalized,smart_184_normalized,smart_187_normalized,smart_190_normalized,smart_191_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_197_normalized,smart_198_normalized
2019-12-31,ZA101R30,ST8000NM0055,8001563222016,0,81.0,96.0,100.0,100.0,94.0,74.0,100.0,100.0,100.0,75.0,93.0,84.0,25.0,81.0,100.0,100.0
2019-12-31,ZA101Z92,ST8000NM0055,8001563222016,0,81.0,94.0,100.0,100.0,81.0,79.0,100.0,100.0,100.0,67.0,95.0,89.0,33.0,81.0,100.0,100.0
2019-12-31,ZA102LY0,ST8000NM0055,8001563222016,0,83.0,89.0,100.0,100.0,93.0,73.0,100.0,100.0,100.0,70.0,95.0,87.0,30.0,83.0,100.0,100.0
2019-12-31,ZA102Y91,ST8000NM0055,8001563222016,0,81.0,95.0,100.0,100.0,93.0,72.0,100.0,100.0,100.0,73.0,92.0,86.0,27.0,81.0,100.0,100.0
2019-12-31,ZA103K18,ST8000NM0055,8001563222016,0,84.0,86.0,100.0,100.0,89.0,75.0,100.0,100.0,100.0,69.0,97.0,88.0,31.0,1.0,100.0,100.0
2019-12-31,ZA104HHP,ST8000NM0055,8001563222016,0,83.0,88.0,100.0,100.0,90.0,75.0,100.0,100.0,100.0,70.0,94.0,90.0,30.0,1.0,100.0,100.0
2019-12-31,ZA104K0T,ST8000NM0055,8001563222016,0,82.0,86.0,100.0,100.0,89.0,75.0,100.0,100.0,100.0,79.0,94.0,91.0,21.0,1.0,100.0,100.0
2019-12-31,ZA105S49,ST8000NM0055,8001563222016,0,83.0,88.0,100.0,100.0,91.0,75.0,100.0,100.0,100.0,66.0,87.0,86.0,34.0,1.0,100.0,100.0
2019-10-13,ZA106RVJ,ST8000NM0055,8001563222016,0,84.0,99.0,100.0,100.0,79.0,100.0,100.0,100.0,100.0,75.0,99.0,100.0,25.0,84.0,100.0,100.0
2019-12-31,ZA1080AY,ST8000NM0055,8001563222016,0,81.0,94.0,100.0,100.0,93.0,73.0,100.0,100.0,100.0,69.0,95.0,84.0,31.0,81.0,100.0,100.0
2019-12-31,ZA1084SC,ST8000NM0055,8001563222016,0,78.0,99.0,100.0,100.0,81.0,100.0,100.0,100.0,100.0,68.0,99.0,100.0,32.0,78.0,100.0,100.0
