date,serial_number,model,capacity_bytes,failure,smart_9_normalized,smart_10_normalized,smart_193_normalized,smart_222_normalized
2019-12-22,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,54.0,100.0,100.0,54.0
2019-12-23,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,54.0,100.0,100.0,54.0
2019-12-24,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,54.0,100.0,100.0,54.0
2019-12-25,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,54.0,100.0,100.0,54.0
2019-12-26,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,54.0,100.0,100.0,54.0
2019-12-27,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,54.0,100.0,100.0,54.0
2019-12-28,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,54.0,100.0,100.0,54.0
2019-12-29,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,54.0,100.0,100.0,54.0
2019-12-30,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,54.0,100.0,100.0,54.0
2019-12-31,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,54.0,100.0,100.0,54.0
2019-12-22,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-23,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-24,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-25,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-26,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-27,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-28,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-29,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-30,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-31,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-08-31,17OYTGKCT,TOSHIBA MQ01ABF050,500107862016,1,63.0,100.0,100.0,63.0
2019-09-01,17OYTGKCT,TOSHIBA MQ01ABF050,500107862016,1,63.0,100.0,100.0,63.0
2019-09-02,17OYTGKCT,TOSHIBA MQ01ABF050,500107862016,1,63.0,100.0,100.0,63.0
2019-09-03,17OYTGKCT,TOSHIBA MQ01ABF050,500107862016,1,62.0,100.0,100.0,63.0
2019-09-04,17OYTGKCT,TOSHIBA MQ01ABF050,500107862016,1,62.0,100.0,100.0,62.0
