date,serial_number,model,capacity_bytes,failure,smart_3_raw,smart_4_raw,smart_5_raw,smart_9_raw,smart_12_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_196_raw,smart_197_raw,smart_199_raw,smart_222_raw,smart_226_raw
2019-12-22,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,1989.0,7.0,0.0,18550.0,7.0,1.0,0.0,1901.0,41.0,0.0,0.0,0.0,18547.0,170.0
2019-12-23,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,1989.0,7.0,0.0,18565.0,7.0,1.0,0.0,1901.0,41.0,0.0,0.0,0.0,18563.0,170.0
2019-12-24,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,1989.0,7.0,0.0,18597.0,7.0,1.0,0.0,1901.0,42.0,0.0,0.0,0.0,18595.0,170.0
2019-12-25,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,1989.0,7.0,0.0,18613.0,7.0,1.0,0.0,1901.0,42.0,0.0,0.0,0.0,18611.0,170.0
2019-12-26,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,1989.0,7.0,0.0,18645.0,7.0,1.0,0.0,1901.0,41.0,0.0,0.0,0.0,18643.0,170.0
2019-12-27,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,1989.0,7.0,0.0,18677.0,7.0,1.0,0.0,1901.0,42.0,0.0,0.0,0.0,18675.0,170.0
2019-12-28,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,1989.0,7.0,0.0,18693.0,7.0,1.0,0.0,1901.0,42.0,0.0,0.0,0.0,18691.0,170.0
2019-12-29,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,1989.0,7.0,0.0,18725.0,7.0,1.0,0.0,1901.0,41.0,0.0,0.0,0.0,18723.0,170.0
2019-12-30,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,1989.0,7.0,0.0,18741.0,7.0,1.0,0.0,1901.0,42.0,0.0,0.0,0.0,18738.0,170.0
2019-12-31,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,1988.0,8.0,0.0,18772.0,8.0,1.0,1.0,1905.0,39.0,0.0,0.0,0.0,18770.0,255.0
2019-12-22,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,1979.0,11.0,0.0,17730.0,11.0,1.0,2.0,47079.0,29.0,0.0,0.0,0.0,17613.0,264.0
2019-12-23,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,1979.0,11.0,0.0,17746.0,11.0,1.0,2.0,47080.0,29.0,0.0,0.0,0.0,17629.0,259.0
2019-12-24,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,1979.0,11.0,0.0,17777.0,11.0,1.0,2.0,47087.0,29.0,0.0,0.0,0.0,17661.0,249.0
2019-12-25,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,1979.0,11.0,0.0,17793.0,11.0,1.0,2.0,47093.0,29.0,0.0,0.0,0.0,17677.0,259.0
2019-12-26,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,1979.0,11.0,0.0,17825.0,11.0,1.0,2.0,47094.0,29.0,0.0,0.0,0.0,17709.0,262.0
2019-12-27,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,1979.0,11.0,0.0,17841.0,11.0,1.0,2.0,47095.0,29.0,0.0,0.0,0.0,17725.0,256.0
2019-12-28,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,1979.0,11.0,0.0,17873.0,11.0,1.0,2.0,47095.0,30.0,0.0,0.0,0.0,17757.0,256.0
2019-12-29,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,1979.0,11.0,0.0,17889.0,11.0,1.0,2.0,47095.0,30.0,0.0,0.0,0.0,17773.0,256.0
2019-12-30,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,1979.0,11.0,0.0,17921.0,11.0,1.0,2.0,47095.0,30.0,0.0,0.0,0.0,17804.0,256.0
2019-12-31,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,1964.0,12.0,0.0,17953.0,12.0,1.0,3.0,47098.0,30.0,0.0,0.0,0.0,17836.0,258.0
2019-08-31,17OYTGKCT,TOSHIBA MQ01ABF050,500107862016,1,2031.0,6.0,0.0,15149.0,6.0,1.0,0.0,8439.0,33.0,0.0,8.0,0.0,15122.0,189.0
2019-09-01,17OYTGKCT,TOSHIBA MQ01ABF050,500107862016,1,2031.0,6.0,0.0,15165.0,6.0,1.0,0.0,8439.0,32.0,0.0,8.0,0.0,15138.0,189.0
2019-09-02,17OYTGKCT,TOSHIBA MQ01ABF050,500107862016,1,2031.0,6.0,0.0,15196.0,6.0,1.0,0.0,8439.0,33.0,0.0,16.0,0.0,15170.0,189.0
2019-09-03,17OYTGKCT,TOSHIBA MQ01ABF050,500107862016,1,2031.0,6.0,0.0,15212.0,6.0,1.0,0.0,8439.0,33.0,0.0,24.0,0.0,15186.0,189.0
2019-09-04,17OYTGKCT,TOSHIBA MQ01ABF050,500107862016,1,2031.0,6.0,0.0,15244.0,6.0,1.0,0.0,8439.0,33.0,0.0,24.0,0.0,15218.0,189.0
2019-09-05,17OYTGKCT,TOSHIBA MQ01ABF050,500107862016,1,2031.0,6.0,0.0,15260.0,6.0,1.0,0.0,8439.0,32.0,0.0,16.0,0.0,15234.0,189.0
2019-09-06,17OYTGKCT,TOSHIBA MQ01ABF050,500107862016,1,2031.0,6.0,0.0,15276.0,6.0,1.0,0.0,8439.0,33.0,0.0,8.0,0.0,15249.0,189.0
2019-09-07,17OYTGKCT,TOSHIBA MQ01ABF050,500107862016,1,2031.0,6.0,0.0,15308.0,6.0,1.0,0.0,8439.0,33.0,0.0,16.0,0.0,15281.0,189.0
2019-09-08,17OYTGKCT,TOSHIBA MQ01ABF050,500107862016,1,2031.0,6.0,0.0,15323.0,6.0,1.0,0.0,8439.0,33.0,0.0,24.0,0.0,15297.0,189.0
2019-09-09,17OYTGKCT,TOSHIBA MQ01ABF050,500107862016,1,2031.0,6.0,0.0,15355.0,6.0,1.0,0.0,8439.0,33.0,0.0,56.0,0.0,15329.0,189.0
2019-12-22,17OYTGKDT,TOSHIBA MQ01ABF050,500107862016,0,2007.0,11.0,0.0,17738.0,11.0,1.0,1.0,47064.0,29.0,0.0,128.0,0.0,17620.0,270.0
2019-12-23,17OYTGKDT,TOSHIBA MQ01ABF050,500107862016,0,2007.0,11.0,0.0,17754.0,11.0,1.0,1.0,47070.0,30.0,0.0,128.0,0.0,17636.0,259.0
2019-12-24,17OYTGKDT,TOSHIBA MQ01ABF050,500107862016,0,2007.0,11.0,0.0,17786.0,11.0,1.0,1.0,47075.0,29.0,0.0,128.0,0.0,17668.0,264.0
2019-12-25,17OYTGKDT,TOSHIBA MQ01ABF050,500107862016,0,2007.0,11.0,0.0,17802.0,11.0,1.0,1.0,47075.0,29.0,0.0,128.0,0.0,17684.0,264.0
2019-12-26,17OYTGKDT,TOSHIBA MQ01ABF050,500107862016,0,2007.0,11.0,0.0,17834.0,11.0,1.0,1.0,47075.0,30.0,0.0,128.0,0.0,17716.0,264.0
2019-12-27,17OYTGKDT,TOSHIBA MQ01ABF050,500107862016,0,2007.0,11.0,0.0,17850.0,11.0,1.0,1.0,47077.0,30.0,0.0,128.0,0.0,17732.0,254.0
2019-12-28,17OYTGKDT,TOSHIBA MQ01ABF050,500107862016,0,2007.0,11.0,0.0,17881.0,11.0,1.0,1.0,47077.0,30.0,0.0,128.0,0.0,17764.0,254.0
2019-12-29,17OYTGKDT,TOSHIBA MQ01ABF050,500107862016,0,2007.0,11.0,0.0,17897.0,11.0,1.0,1.0,47077.0,30.0,0.0,128.0,0.0,17779.0,254.0
2019-12-30,17OYTGKDT,TOSHIBA MQ01ABF050,500107862016,0,2007.0,11.0,0.0,17929.0,11.0,1.0,1.0,47077.0,30.0,0.0,128.0,0.0,17811.0,254.0
