date,serial_number,model,capacity_bytes,failure,smart_9_normalized,smart_10_normalized,smart_193_normalized,smart_222_normalized
2019-12-31,17OYTGI0T,TOSHIBA MQ01ABF050,500107862016,0,54.0,100.0,100.0,54.0
2019-12-31,17OYTGKBT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-09-09,17OYTGKCT,TOSHIBA MQ01ABF050,500107862016,1,62.0,100.0,100.0,62.0
2019-12-31,17OYTGKDT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-31,17OYTGKET,TOSHIBA MQ01ABF050,500107862016,0,55.0,100.0,100.0,55.0
2019-12-31,17OYTGKFT,TOSHIBA MQ01ABF050,500107862016,0,55.0,100.0,100.0,55.0
2019-12-31,17OYTGKGT,TOSHIBA MQ01ABF050,500107862016,0,55.0,100.0,100.0,55.0
2019-12-31,17OYTGKHT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-31,17OYTGKIT,TOSHIBA MQ01ABF050,500107862016,0,55.0,100.0,100.0,55.0
2019-12-31,17OYTGKJT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-31,17OYTGKLT,TOSHIBA MQ01ABF050,500107862016,0,55.0,100.0,100.0,55.0
2019-12-31,17OYTGKNT,TOSHIBA MQ01ABF050,500107862016,0,55.0,100.0,100.0,55.0
2019-12-06,17OYTGKOT,TOSHIBA MQ01ABF050,500107862016,1,57.0,100.0,100.0,57.0
2019-12-31,17OYTGKPT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-31,17OYTGKQT,TOSHIBA MQ01ABF050,500107862016,0,55.0,100.0,100.0,55.0
2019-12-31,17OYTGKST,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-31,17OYTGKTT,TOSHIBA MQ01ABF050,500107862016,0,55.0,100.0,100.0,55.0
2019-12-31,17OYTGKUT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-31,17OYTGKVT,TOSHIBA MQ01ABF050,500107862016,0,55.0,100.0,100.0,55.0
2019-12-31,17OYTGKWT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-31,17OYTGKXT,TOSHIBA MQ01ABF050,500107862016,0,55.0,100.0,100.0,55.0
2019-04-11,17OYTGKYT,TOSHIBA MQ01ABF050,500107862016,1,71.0,100.0,96.0,72.0
2019-12-31,17OYTGKZT,TOSHIBA MQ01ABF050,500107862016,0,57.0,100.0,100.0,57.0
2019-12-31,17OYTGL1T,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-04-25,17OYTGL2T,TOSHIBA MQ01ABF050,500107862016,1,71.0,100.0,96.0,71.0
2019-11-20,17OYTGL3T,TOSHIBA MQ01ABF050,500107862016,1,58.0,100.0,100.0,58.0
2019-12-31,17OYTGL6T,TOSHIBA MQ01ABF050,500107862016,0,55.0,100.0,100.0,55.0
2019-05-22,17OYTGL7T,TOSHIBA MQ01ABF050,500107862016,1,69.0,100.0,96.0,69.0
2019-07-08,17OYTGL8T,TOSHIBA MQ01ABF050,500107862016,1,66.0,100.0,96.0,67.0
2019-12-31,17OYTGL9T,TOSHIBA MQ01ABF050,500107862016,0,55.0,100.0,100.0,55.0
2019-12-31,17OYTGLAT,TOSHIBA MQ01ABF050,500107862016,0,55.0,100.0,100.0,55.0
2019-12-31,17OYTGLBT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-31,17OYTGLCT,TOSHIBA MQ01ABF050,500107862016,0,55.0,100.0,100.0,55.0
2019-12-31,17OYTGLET,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,99.0,56.0
2019-12-31,17OYTGLFT,TOSHIBA MQ01ABF050,500107862016,0,54.0,100.0,100.0,54.0
2019-09-18,17OYTGLGT,TOSHIBA MQ01ABF050,500107862016,1,62.0,100.0,100.0,62.0
2019-12-31,17OYTGLHT,TOSHIBA MQ01ABF050,500107862016,0,56.0,100.0,96.0,56.0
2019-12-31,17OYTGLIT,TOSHIBA MQ01ABF050,500107862016,0,54.0,100.0,100.0,54.0
2019-12-31,17OYTGLJT,TOSHIBA MQ01ABF050,500107862016,0,54.0,100.0,100.0,54.0
2019-12-31,17OYTGLKT,TOSHIBA MQ01ABF050,500107862016,0,54.0,100.0,100.0,54.0
2019-12-31,17OYTGLLT,TOSHIBA MQ01ABF050,500107862016,0,54.0,100.0,100.0,54.0
2019-12-31,17OYTGLMT,TOSHIBA MQ01ABF050,500107862016,0,54.0,100.0,100.0,54.0
2019-07-15,17OYTGLNT,TOSHIBA MQ01ABF050,500107862016,1,64.0,100.0,100.0,64.0
2019-12-31,17QEC1EXT,TOSHIBA MQ01ABF050,500107862016,0,49.0,100.0,100.0,49.0
2019-12-31,17QEC1EYT,TOSHIBA MQ01ABF050,500107862016,0,49.0,100.0,100.0,49.0
2019-12-31,17QEC1EZT,TOSHIBA MQ01ABF050,500107862016,0,49.0,100.0,100.0,49.0
2019-12-31,17QEC1F0T,TOSHIBA MQ01ABF050,500107862016,0,49.0,100.0,100.0,49.0
2019-12-31,17QEC1F1T,TOSHIBA MQ01ABF050,500107862016,0,49.0,100.0,100.0,49.0
2019-07-29,17QEC1F2T,TOSHIBA MQ01ABF050,500107862016,1,59.0,100.0,100.0,59.0
2019-12-31,17QEC1F5T,TOSHIBA MQ01ABF050,500107862016,0,47.0,100.0,100.0,47.0
2019-12-31,278KCP45T,TOSHIBA MQ01ABF050,500107862016,0,49.0,100.0,100.0,49.0
2019-12-31,278KCP47T,TOSHIBA MQ01ABF050,500107862016,0,49.0,100.0,100.0,49.0
2019-12-31,563ESIWSS,TOSHIBA MQ01ABF050,500107862016,0,26.0,100.0,100.0,26.0
2019-11-01,563ESIX1S,TOSHIBA MQ01ABF050,500107862016,1,42.0,100.0,100.0,42.0
2019-12-31,563ESIXHS,TOSHIBA MQ01ABF050,500107862016,0,33.0,100.0,100.0,33.0
2019-12-31,5641SFQVS,TOSHIBA MQ01ABF050,500107862016,0,25.0,100.0,100.0,25.0
2019-12-31,5641SFQWS,TOSHIBA MQ01ABF050,500107862016,0,26.0,100.0,100.0,26.0
2019-12-31,5641SFQYS,TOSHIBA MQ01ABF050,500107862016,0,33.0,100.0,100.0,33.0
